DATE,CBBTCUSD
7/27/2015,294.21
7/28/2015,295.76
7/29/2015,290.19
7/30/2015,288.49
7/31/2015,285.19
8/1/2015,281.53
8/2/2015,282.62
8/3/2015,280.95
8/4/2015,285.51
8/5/2015,282.77
8/6/2015,279.65
8/7/2015,279.94
8/8/2015,262.02
8/9/2015,267.63
8/10/2015,265.15
8/11/2015,271.99
8/12/2015,266.94
8/13/2015,264.67
8/14/2015,266.17
8/15/2015,262.46
8/16/2015,259.2
8/17/2015,257.31
8/18/2015,221.99
8/19/2015,227.34
8/20/2015,235.56
8/21/2015,232.85
8/22/2015,231.15
8/23/2015,229.21
8/24/2015,211.16
8/25/2015,223.73
8/26/2015,226.81
8/27/2015,225.8
8/28/2015,231.55
8/29/2015,230.61
8/30/2015,229.39
8/31/2015,230.75
9/1/2015,228.22
9/2/2015,229.97
9/3/2015,227.25
9/4/2015,231.39
9/5/2015,236.01
9/6/2015,241.29
9/7/2015,241.31
9/8/2015,244.14
9/9/2015,238.75
9/10/2015,238.52
9/11/2015,240.9
9/12/2015,236.5
9/13/2015,230.82
9/14/2015,231.01
9/15/2015,230.6
9/16/2015,229.73
9/17/2015,233.34
9/18/2015,233.78
9/19/2015,232.88
9/20/2015,232.24
9/21/2015,227.31
9/22/2015,231.28
9/23/2015,230.26
9/24/2015,235.27
9/25/2015,235.89
9/26/2015,234.69
9/27/2015,233.58
9/28/2015,239.99
9/29/2015,236.89
9/30/2015,237.14
10/1/2015,238.34
10/2/2015,238.28
10/3/2015,239.92
10/4/2015,239.87
10/5/2015,240.95
10/6/2015,246.64
10/7/2015,244
10/8/2015,242.94
10/9/2015,244.35
10/10/2015,246.07
10/11/2015,249.02
10/12/2015,246.39
10/13/2015,250.99
10/14/2015,253.27
10/15/2015,254.99
10/16/2015,263.43
10/17/2015,272.87
10/18/2015,265
10/19/2015,265.17
10/20/2015,271.14
10/21/2015,268.77
10/22/2015,275.84
10/23/2015,278.76
10/24/2015,284.29
10/25/2015,284.97
10/26/2015,287.1
10/27/2015,295.61
10/28/2015,304.09
10/29/2015,316.08
10/30/2015,329.11
10/31/2015,314.85
11/1/2015,329.46
11/2/2015,365.21
11/3/2015,404.1
11/4/2015,410
11/5/2015,387.21
11/6/2015,374.09
11/7/2015,384.81
11/8/2015,373.83
11/9/2015,379.53
11/10/2015,337.14
11/11/2015,313.2
11/12/2015,336.49
11/13/2015,338.07
11/14/2015,334.71
11/15/2015,322.93
11/16/2015,332.89
11/17/2015,336.49
11/18/2015,335.49
11/19/2015,326.41
11/20/2015,322.39
11/21/2015,327
11/22/2015,323.71
11/23/2015,323
11/24/2015,321
11/25/2015,328.98
11/26/2015,352.57
11/27/2015,358.19
11/28/2015,357.24
11/29/2015,372.24
11/30/2015,376.86
12/1/2015,362.68
12/2/2015,360
12/3/2015,361.77
12/4/2015,363.98
12/5/2015,387.99
12/6/2015,387.55
12/7/2015,394.73
12/8/2015,418.94
12/9/2015,418.39
12/10/2015,415.68
12/11/2015,452.95
12/12/2015,436.87
12/13/2015,433.83
12/14/2015,444.01
12/15/2015,464.27
12/16/2015,453.97
12/17/2015,455.5
12/18/2015,463.17
12/19/2015,461.29
12/20/2015,442.22
12/21/2015,436.81
12/22/2015,433.92
12/23/2015,442.43
12/24/2015,455.74
12/25/2015,455.84
12/26/2015,419.41
12/27/2015,424.72
12/28/2015,421.94
12/29/2015,433.89
12/30/2015,427.95
12/31/2015,430.35
1/1/2016,435.66
1/2/2016,435.4
1/3/2016,431.91
1/4/2016,433.85
1/5/2016,433.34
1/6/2016,430.87
1/7/2016,459.07
1/8/2016,454.44
1/9/2016,450.38
1/10/2016,449.99
1/11/2016,449.19
1/12/2016,434.01
1/13/2016,432.77
1/14/2016,430.03
1/15/2016,357.53
1/16/2016,388.7
1/17/2016,378.46
1/18/2016,384.89
1/19/2016,375.27
1/20/2016,418.54
1/21/2016,409.38
1/22/2016,382.9
1/23/2016,387.5
1/24/2016,403.05
1/25/2016,391.4
1/26/2016,391.54
1/27/2016,394.79
1/28/2016,379.61
1/29/2016,378.68
1/30/2016,378.46
1/31/2016,367.95
2/1/2016,371.33
2/2/2016,372.93
2/3/2016,368.87
2/4/2016,387.99
2/5/2016,384.5
2/6/2016,375.44
2/7/2016,377.49
2/8/2016,371.14
2/9/2016,372.68
2/10/2016,378.44
2/11/2016,378.23
2/12/2016,382.05
2/13/2016,391
2/14/2016,406.59
2/15/2016,398.95
2/16/2016,407.42
2/17/2016,415.2
2/18/2016,421.19
2/19/2016,420.72
2/20/2016,437.46
2/21/2016,438.56
2/22/2016,437.55
2/23/2016,419.97
2/24/2016,423.94
2/25/2016,423.54
2/26/2016,430.85
2/27/2016,433.12
2/28/2016,433.73
2/29/2016,436.44
3/1/2016,433.08
3/2/2016,420.39
3/3/2016,418.8
3/4/2016,407.35
3/5/2016,396.08
3/6/2016,403.24
3/7/2016,412.21
3/8/2016,411.18
3/9/2016,412.8
3/10/2016,415.98
3/11/2016,419.39
3/12/2016,410.58
3/13/2016,412.52
3/14/2016,415.02
3/15/2016,415.41
3/16/2016,416.07
3/17/2016,418.41
3/18/2016,409.65
3/19/2016,410.2
3/20/2016,411.27
3/21/2016,412
3/22/2016,416.66
3/23/2016,417.53
3/24/2016,412.95
3/25/2016,416.41
3/26/2016,416.97
3/27/2016,425.3
3/28/2016,423
3/29/2016,416.39
3/30/2016,412.79
3/31/2016,416.03
4/1/2016,417.68
4/2/2016,419.95
4/3/2016,420.16
4/4/2016,419.47
4/5/2016,422.36
4/6/2016,421.46
4/7/2016,421.99
4/8/2016,419.48
4/9/2016,419.46
4/10/2016,423.4
4/11/2016,423.94
4/12/2016,427.8
4/13/2016,425.58
4/14/2016,426.32
4/15/2016,430.93
4/16/2016,433.39
4/17/2016,431
4/18/2016,430.97
4/19/2016,437.06
4/20/2016,442.96
4/21/2016,452.25
4/22/2016,448.41
4/23/2016,455.69
4/24/2016,464.46
4/25/2016,466.17
4/26/2016,470.59
4/27/2016,445.31
4/28/2016,451.68
4/29/2016,458.82
4/30/2016,454.02
5/1/2016,456.98
5/2/2016,446.42
5/3/2016,452.21
5/4/2016,448.68
5/5/2016,449.98
5/6/2016,462.31
5/7/2016,461.91
5/8/2016,462.79
5/9/2016,464.16
5/10/2016,452.78
5/11/2016,454.37
5/12/2016,456.48
5/13/2016,457.98
5/14/2016,458.9
5/15/2016,461.47
5/16/2016,455.66
5/17/2016,454.19
5/18/2016,455.56
5/19/2016,438.38
5/20/2016,445.65
5/21/2016,446.28
5/22/2016,442.48
5/23/2016,445.67
5/24/2016,446.99
5/25/2016,451.49
5/26/2016,454.97
5/27/2016,471.27
5/28/2016,523.25
5/29/2016,525.22
5/30/2016,532.55
5/31/2016,531.34
6/1/2016,534.84
6/2/2016,537.87
6/3/2016,571.25
6/4/2016,576.31
6/5/2016,575.17
6/6/2016,586.77
6/7/2016,579.71
6/8/2016,583.21
6/9/2016,577.46
6/10/2016,580.31
6/11/2016,609.5
6/12/2016,677.86
6/13/2016,706.01
6/14/2016,684.95
6/15/2016,698.78
6/16/2016,769.76
6/17/2016,752.26
6/18/2016,758.99
6/19/2016,768.76
6/20/2016,703.12
6/21/2016,667.66
6/22/2016,604.5
6/23/2016,631.1
6/24/2016,669.98
6/25/2016,673.71
6/26/2016,638.56
6/27/2016,657.87
6/28/2016,648.43
6/29/2016,639.42
6/30/2016,673.49
7/1/2016,678.19
7/2/2016,704.95
7/3/2016,663.55
7/4/2016,681.98
7/5/2016,669.87
7/6/2016,678.79
7/7/2016,641.97
7/8/2016,667.33
7/9/2016,657.61
7/10/2016,652.44
7/11/2016,650.97
7/12/2016,666.56
7/13/2016,655.34
7/14/2016,661.65
7/15/2016,667.48
7/16/2016,666.32
7/17/2016,680
7/18/2016,675.5
7/19/2016,673.98
7/20/2016,666.92
7/21/2016,667.28
7/22/2016,654.67
7/23/2016,657.5
7/24/2016,661
7/25/2016,657.79
7/26/2016,654.06
7/27/2016,657.35
7/28/2016,657.4
7/29/2016,657
7/30/2016,655.87
7/31/2016,626.97
8/1/2016,605.2
8/2/2016,537.47
8/3/2016,573.36
8/4/2016,587.5
8/5/2016,583
8/6/2016,591.71
8/7/2016,595.14
8/8/2016,591.48
8/9/2016,586.45
8/10/2016,594.94
8/11/2016,587.91
8/12/2016,587.74
8/13/2016,586.45
8/14/2016,574.99
8/15/2016,567.79
8/16/2016,579.02
8/17/2016,574.45
8/18/2016,574.09
8/19/2016,573.67
8/20/2016,581.87
8/21/2016,581.29
8/22/2016,585.2
8/23/2016,582.39
8/24/2016,578.47
8/25/2016,575.58
8/26/2016,579.29
8/27/2016,570.84
8/28/2016,575.41
8/29/2016,573.21
8/30/2016,574.95
8/31/2016,572.89
9/1/2016,573.02
9/2/2016,576.21
9/3/2016,600.91
9/4/2016,611.92
9/5/2016,605.69
9/6/2016,612.99
9/7/2016,615.21
9/8/2016,627.97
9/9/2016,622.07
9/10/2016,623.74
9/11/2016,607.94
9/12/2016,606.74
9/13/2016,608.63
9/14/2016,608.43
9/15/2016,605.44
9/16/2016,607.93
9/17/2016,607.92
9/18/2016,611.4
9/19/2016,608.6
9/20/2016,605.6
9/21/2016,597
9/22/2016,596.21
9/23/2016,602.96
9/24/2016,603.68
9/25/2016,601.67
9/26/2016,607.08
9/27/2016,605.71
9/28/2016,605.04
9/29/2016,605.99
9/30/2016,608.99
10/1/2016,615.65
10/2/2016,612.4
10/3/2016,612.99
10/4/2016,610.34
10/5/2016,613.16
10/6/2016,611.88
10/7/2016,617.98
10/8/2016,619.5
10/9/2016,617.42
10/10/2016,618.72
10/11/2016,642.12
10/12/2016,635.79
10/13/2016,635.66
10/14/2016,638.03
10/15/2016,638.16
10/16/2016,641.92
10/17/2016,639.56
10/18/2016,635.11
10/19/2016,629.79
10/20/2016,628.05
10/21/2016,630.83
10/22/2016,652.75
10/23/2016,651.04
10/24/2016,649.98
10/25/2016,654.3
10/26/2016,674
10/27/2016,691.21
10/28/2016,689.95
10/29/2016,714.28
10/30/2016,697.41
10/31/2016,696.9
11/1/2016,730.7
11/2/2016,744.6
11/3/2016,690
11/4/2016,706.32
11/5/2016,706.99
11/6/2016,717.02
11/7/2016,706.42
11/8/2016,711.15
11/9/2016,720.97
11/10/2016,712.91
11/11/2016,716.9
11/12/2016,704.53
11/13/2016,704.01
11/14/2016,708.32
11/15/2016,712.29
11/16/2016,739.85
11/17/2016,730.71
11/18/2016,748.54
11/19/2016,750.77
11/20/2016,731.99
11/21/2016,736.4
11/22/2016,746.66
11/23/2016,741.52
11/24/2016,737.99
11/25/2016,739.74
11/26/2016,735.7
11/27/2016,729.24
11/28/2016,729.77
11/29/2016,732.37
11/30/2016,742.69
12/1/2016,754
12/2/2016,769.25
12/3/2016,766.98
12/4/2016,767.99
12/5/2016,752
12/6/2016,759.8
12/7/2016,764.34
12/8/2016,767.89
12/9/2016,773.22
12/10/2016,775.87
12/11/2016,771.05
12/12/2016,778.94
12/13/2016,776.18
12/14/2016,777.66
12/15/2016,776.16
12/16/2016,780.98
12/17/2016,788.57
12/18/2016,790.72
12/19/2016,790.81
12/20/2016,798.99
12/21/2016,834.5
12/22/2016,856.02
12/23/2016,917.26
12/24/2016,891.5
12/25/2016,896.12
12/26/2016,902.09
12/27/2016,925.2
12/28/2016,982.17
12/29/2016,970.72
12/30/2016,960.81
12/31/2016,973.37
1/1/2017,992.95
1/2/2017,1011.45
1/3/2017,1020.67
1/4/2017,1130.3
1/5/2017,1007
1/6/2017,895.71
1/7/2017,909
1/8/2017,923.33
1/9/2017,902.66
1/10/2017,907
1/11/2017,795.77
1/12/2017,812.25
1/13/2017,831.42
1/14/2017,828
1/15/2017,833.31
1/16/2017,834.41
1/17/2017,906
1/18/2017,887.99
1/19/2017,902.92
1/20/2017,894.31
1/21/2017,925.06
1/22/2017,931.22
1/23/2017,910.7
1/24/2017,887
1/25/2017,896
1/26/2017,917.02
1/27/2017,922.63
1/28/2017,924.98
1/29/2017,916.54
1/30/2017,923.23
1/31/2017,970.01
2/1/2017,992.75
2/2/2017,1008.38
2/3/2017,1018
2/4/2017,1035.54
2/5/2017,1016.32
2/6/2017,1022.58
2/7/2017,1053.96
2/8/2017,1056.7
2/9/2017,994.24
2/10/2017,1001.99
2/11/2017,1018.65
2/12/2017,1010
2/13/2017,1002.82
2/14/2017,1013.92
2/15/2017,1014.53
2/16/2017,1038.94
2/17/2017,1057.3
2/18/2017,1062.15
2/19/2017,1059.88
2/20/2017,1089.82
2/21/2017,1128.29
2/22/2017,1128.71
2/23/2017,1186.9
2/24/2017,1186.91
2/25/2017,1158
2/26/2017,1184.91
2/27/2017,1195.81
2/28/2017,1195.08
3/1/2017,1230
3/2/2017,1269.17
3/3/2017,1292.86
3/4/2017,1273.97
3/5/2017,1278.98
3/6/2017,1284.99
3/7/2017,1237.36
3/8/2017,1150.22
3/9/2017,1197.3
3/10/2017,1109.01
3/11/2017,1188.11
3/12/2017,1235.58
3/13/2017,1245.49
3/14/2017,1247.42
3/15/2017,1263
3/16/2017,1175.11
3/17/2017,1069.57
3/18/2017,970
3/19/2017,1019.49
3/20/2017,1044.96
3/21/2017,1114.42
3/22/2017,1034.57
3/23/2017,1025.14
3/24/2017,934.87
3/25/2017,963.72
3/26/2017,973.08
3/27/2017,1042.08
3/28/2017,1045.4
3/29/2017,1043.27
3/30/2017,1042.34
3/31/2017,1088.99
4/1/2017,1092
4/2/2017,1113.99
4/3/2017,1152.6
4/4/2017,1143.99
4/5/2017,1132.99
4/6/2017,1192.3
4/7/2017,1194
4/8/2017,1184.5
4/9/2017,1210.97
4/10/2017,1210
4/11/2017,1223.99
4/12/2017,1214.17
4/13/2017,1177.05
4/14/2017,1173.74
4/15/2017,1178.85
4/16/2017,1177.99
4/17/2017,1189.91
4/18/2017,1201.94
4/19/2017,1214.21
4/20/2017,1236.15
4/21/2017,1249.99
4/22/2017,1247
4/23/2017,1251.98
4/24/2017,1257.29
4/25/2017,1281.16
4/26/2017,1298.44
4/27/2017,1349.26
4/28/2017,1353.34
4/29/2017,1365.43
4/30/2017,1384.55
5/1/2017,1436.5
5/2/2017,1471.99
5/3/2017,1533
5/4/2017,1563.39
5/5/2017,1551.3
5/6/2017,1585.39
5/7/2017,1609.57
5/8/2017,1713
5/9/2017,1720.43
5/10/2017,1794.99
5/11/2017,1837.93
5/12/2017,1695.61
5/13/2017,1792.73
5/14/2017,1799.99
5/15/2017,1747.81
5/16/2017,1777.48
5/17/2017,1813.23
5/18/2017,1899.16
5/19/2017,1976.23
5/20/2017,2058.91
5/21/2017,2057
5/22/2017,2123.29
5/23/2017,2272.75
5/24/2017,2432.97
5/25/2017,2355
5/26/2017,2272.7
5/27/2017,2099.99
5/28/2017,2232.78
5/29/2017,2279.48
5/30/2017,2191.58
5/31/2017,2303.29
6/1/2017,2419.99
6/2/2017,2478.99
6/3/2017,2548.05
6/4/2017,2521.36
6/5/2017,2698
6/6/2017,2871.29
6/7/2017,2685.64
6/8/2017,2799.73
6/9/2017,2811.39
6/10/2017,2931.15
6/11/2017,2998.98
6/12/2017,2655.71
6/13/2017,2709.01
6/14/2017,2432.21
6/15/2017,2409.98
6/16/2017,2480.43
6/17/2017,2634.94
6/18/2017,2515.25
6/19/2017,2596.98
6/20/2017,2725.08
6/21/2017,2643.35
6/22/2017,2679.99
6/23/2017,2690.76
6/24/2017,2574.84
6/25/2017,2505.61
6/26/2017,2407.91
6/27/2017,2575.75
6/28/2017,2553.12
6/29/2017,2530
6/30/2017,2455.19
7/1/2017,2423.63
7/2/2017,2516.66
7/3/2017,2542.41
7/4/2017,2602
7/5/2017,2616.96
7/6/2017,2604.84
7/7/2017,2501.15
7/8/2017,2561.11
7/9/2017,2508.99
7/10/2017,2331.05
7/11/2017,2310.01
7/12/2017,2383.42
7/13/2017,2340
7/14/2017,2217.24
7/15/2017,1964.31
7/16/2017,1911.78
7/17/2017,2235.19
7/18/2017,2308.15
7/19/2017,2258.99
7/20/2017,2873.48
7/21/2017,2657.45
7/22/2017,2825.27
7/23/2017,2754.28
7/24/2017,2762.26
7/25/2017,2564
7/26/2017,2525.99
7/27/2017,2664.99
7/28/2017,2786.07
7/29/2017,2700.21
7/30/2017,2723.99
7/31/2017,2856.88
8/1/2017,2732.59
8/2/2017,2699.9
8/3/2017,2787.02
8/4/2017,2857.34
8/5/2017,3243.49
8/6/2017,3222.22
8/7/2017,3398.23
8/8/2017,3422.43
8/9/2017,3342.8
8/10/2017,3444.98
8/11/2017,3656.15
8/12/2017,3874
8/13/2017,4060.47
8/14/2017,4320.6
8/15/2017,4159.93
8/16/2017,4370.01
8/17/2017,4280.01
8/18/2017,4101.72
8/19/2017,4157.41
8/20/2017,4050.99
8/21/2017,4002
8/22/2017,4092
8/23/2017,4143.49
8/24/2017,4312.03
8/25/2017,4360
8/26/2017,4344.32
8/27/2017,4340.11
8/28/2017,4384.99
8/29/2017,4599
8/30/2017,4581.98
8/31/2017,4743.94
9/1/2017,4947.99
9/2/2017,4649.99
9/3/2017,4626.05
9/4/2017,4498.25
9/5/2017,4432.51
9/6/2017,4616.18
9/7/2017,4624.18
9/8/2017,4350
9/9/2017,4334.36
9/10/2017,4251.36
9/11/2017,4210.72
9/12/2017,4164.52
9/13/2017,3855.32
9/14/2017,3250.4
9/15/2017,3740.02
9/16/2017,3726.51
9/17/2017,3719.97
9/18/2017,4100
9/19/2017,3910.11
9/20/2017,3872.06
9/21/2017,3617.47
9/22/2017,3619.01
9/23/2017,3787.33
9/24/2017,3669.01
9/25/2017,3919.78
9/26/2017,3885.09
9/27/2017,4200
9/28/2017,4189.42
9/29/2017,4156.99
9/30/2017,4339
10/1/2017,4394.81
10/2/2017,4392.71
10/3/2017,4307.99
10/4/2017,4214.84
10/5/2017,4320.04
10/6/2017,4362.99
10/7/2017,4425
10/8/2017,4603.49
10/9/2017,4769.55
10/10/2017,4750
10/11/2017,4814.99
10/12/2017,5440
10/13/2017,5624.8
10/14/2017,5819.13
10/15/2017,5693.7
10/16/2017,5754.9
10/17/2017,5594
10/18/2017,5574.44
10/19/2017,5704.01
10/20/2017,5989.1
10/21/2017,6024.86
10/22/2017,6005.05
10/23/2017,5905.99
10/24/2017,5525.43
10/25/2017,5739.97
10/26/2017,5891.61
10/27/2017,5780
10/28/2017,5752.01
10/29/2017,6140.01
10/30/2017,6124.16
10/31/2017,6445.01
11/1/2017,6783.69
11/2/2017,7039.98
11/3/2017,7170.01
11/4/2017,7412.55
11/5/2017,7392
11/6/2017,6969.76
11/7/2017,7126.63
11/8/2017,7467.96
11/9/2017,7156
11/10/2017,6577.62
11/11/2017,6346.7
11/12/2017,5886.35
11/13/2017,6535.87
11/14/2017,6605
11/15/2017,7294
11/16/2017,7838.53
11/17/2017,7714.71
11/18/2017,7777.01
11/19/2017,8031.82
11/20/2017,8256.01
11/21/2017,8109
11/22/2017,8250
11/23/2017,8031.16
11/24/2017,8215.01
11/25/2017,8795.5
11/26/2017,9401.11
11/27/2017,9768.71
11/28/2017,9949
11/29/2017,9935.98
11/30/2017,9903
12/1/2017,10869.84
12/2/2017,10930.24
12/3/2017,11290
12/4/2017,11643.98
12/5/2017,11718.35
12/6/2017,14090
12/7/2017,17390.01
12/8/2017,16367.03
12/9/2017,15309.98
12/10/2017,15290.01
12/11/2017,16885.76
12/12/2017,17730.12
12/13/2017,16689.61
12/14/2017,16749.78
12/15/2017,17738.67
12/16/2017,19650.01
12/17/2017,19378.99
12/18/2017,19039.01
12/19/2017,17838.73
12/20/2017,16496.89
12/21/2017,15758.8
12/22/2017,14210.57
12/23/2017,15075.89
12/24/2017,14221.94
12/25/2017,14171.98
12/26/2017,15790.88
12/27/2017,15367.08
12/28/2017,14450.01
12/29/2017,14565.05
12/30/2017,12839.99
12/31/2017,13863.13
1/1/2018,13480.01
1/2/2018,14781.51
1/3/2018,15098.14
1/4/2018,15144.99
1/5/2018,16960.01
1/6/2018,17098.99
1/7/2018,16174.22
1/8/2018,14993.74
1/9/2018,14480.99
1/10/2018,14875.18
1/11/2018,13308.06
1/12/2018,13820
1/13/2018,14187.95
1/14/2018,13656.23
1/15/2018,13590
1/16/2018,11570.01
1/17/2018,11200.01
1/18/2018,11305.53
1/19/2018,11498.99
1/20/2018,12762.8
1/21/2018,11518.17
1/22/2018,10766.7
1/23/2018,10824.94
1/24/2018,11356.79
1/25/2018,11118
1/26/2018,11086.89
1/27/2018,11319
1/28/2018,11536
1/29/2018,11123.01
1/30/2018,9995
1/31/2018,10099.99
2/1/2018,9014.23
2/2/2018,8787.52
2/3/2018,9240
2/4/2018,8167.91
2/5/2018,6905.19
2/6/2018,7688.46
2/7/2018,7575.75
2/8/2018,8218.1
2/9/2018,8671.01
2/10/2018,8547.49
2/11/2018,8072.99
2/12/2018,8872.28
2/13/2018,8520.01
2/14/2018,9472.98
2/15/2018,10031.23
2/16/2018,10167.49
2/17/2018,11121.5
2/18/2018,10380.04
2/19/2018,11140
2/20/2018,11235.57
2/21/2018,10454.27
2/22/2018,9830
2/23/2018,10144.99
2/24/2018,9688.62
2/25/2018,9597.99
2/26/2018,10300
2/27/2018,10566.57
2/28/2018,10307.27
3/1/2018,10895.92
3/2/2018,11000
3/3/2018,11432.5
3/4/2018,11469.9
3/5/2018,11377.54
